,s_name,case p_type when 1 then '阅读' when 2 then '艺术' when 3 then '课程' when 4 then '万里行' end,is_use
285,嘉定区叶城小学,艺术,1
286,嘉定区安亭小学,阅读,1
287,嘉定区安亭小学,艺术,1
288,嘉定区德富路小学,阅读,1
289,嘉定区德富路小学,艺术,1
290,嘉定区南翔小学,阅读,1
291,嘉定区南翔小学,艺术,1
292,嘉定区真新小学,阅读,1
293,嘉定区真新小学,艺术,1
294,嘉定区苏民学校,阅读,1
295,嘉定区苏民学校,艺术,1
296,嘉定区城中路小学,阅读,1
297,嘉定区城中路小学,艺术,1
298,嘉定区戬浜学校,阅读,1
299,嘉定区戬浜学校,艺术,1
300,嘉定区普通小学,阅读,0
301,嘉定区普通小学,艺术,0
302,闵行区平阳小学,阅读,1
303,闵行区平阳小学,艺术,1
304,深圳市福田区园岭实验小学,阅读,1
305,深圳市福田区园岭实验小学,艺术,1
306,三亚市第九小学,阅读,1
307,三亚市第九小学,艺术,1
308,嘉定区绿地小学,阅读,1
309,嘉定区绿地小学,艺术,1
310,合肥市西园新村小学,阅读,1
311,合肥市西园新村小学,艺术,1
312,嘉定区古猗小学,阅读,1
313,嘉定区古猗小学,艺术,1
314,上海市民办新世纪小学,阅读,1
315,上海市民办新世纪小学,艺术,1
316,思来氏幼儿园,阅读,1
317,思来氏幼儿园,艺术,1
318,江苏省常州高级中学,阅读,1
319,江苏省常州高级中学,艺术,1
320,普陀区真光小学,阅读,1
321,普陀区真光小学,艺术,1
322,黄浦区曹光彪小学,阅读,1
323,黄浦区曹光彪小学,艺术,1
324,常州市五星实验小学,阅读,1
325,常州市五星实验小学,艺术,1
326,重庆市巴蜀小学,阅读,1
327,重庆市巴蜀小学,艺术,1
328,广州市海珠区第三实验小学,阅读,1
329,广州市海珠区第三实验小学,艺术,1
330,广州市天河区华阳小学,阅读,1
331,广州市天河区华阳小学,艺术,1
332,重庆市璧山区实验小学,阅读,1
333,重庆市璧山区实验小学,艺术,1
334,常州市青龙实验小学,阅读,0
335,常州市青龙实验小学,艺术,1
336,常州市焦溪小学,阅读,1
337,常州市焦溪小学,艺术,1
338,常州市红梅实验小学,阅读,1
339,常州市红梅实验小学,艺术,1
340,常州市清凉小学,阅读,1
341,常州市清凉小学,艺术,1
342,常州市郑陆中心幼儿园,阅读,1
343,常州市郑陆中心幼儿园,艺术,1
344,常州市娑罗巷幼儿园,阅读,1
345,常州市娑罗巷幼儿园,艺术,1
346,常州市青龙中心幼儿园,阅读,1
347,常州市青龙中心幼儿园,艺术,1
348,常州市兰陵小学,阅读,1
349,常州市兰陵小学,艺术,1
350,常州市丽华新村第二小学,阅读,1
351,常州市丽华新村第二小学,艺术,1
352,香格里拉市建塘小学,阅读,1
353,香格里拉市建塘小学,艺术,1
354,淄博市淄川区实验小学,阅读,1
355,淄博市淄川区实验小学,艺术,0
356,青果学校,阅读,1
357,青果学校,艺术,1
358,上海市宜川中学附属学校,阅读,1
359,上海市宜川中学附属学校,艺术,1
360,徐汇区启新小学,阅读,1
361,徐汇区启新小学,艺术,1
362,南京市小营小学,阅读,1
363,南京市小营小学,艺术,1
364,福州市梅峰小学,阅读,1
365,福州市梅峰小学,艺术,1
366,武汉市武昌实验寄宿小学,阅读,1
367,武汉市武昌实验寄宿小学,艺术,1
368,思来氏未来小学,课程,1
369,静安区中华新路幼儿园,课程,1
